(0, 0, 0, 0, 0)
(2, 2, 2, 2, 0)
(4, 4, 4, 4, 0)
(6, 6, 6, 6, 0)
(8, 8, 8, 8, 0)
(10, 10, 10, 10, 0)
(12, 12, 12, 12, 0)
(14, 14, 14, 14, 0)
(16, 16, 16, 16, 0)
(18, 18, 18, 18, 0)
(20, 20, 20, 20, 0)
(22, 22, 22, 22, 0)
(24, 24, 24, 24, 0)
(26, 26, 26, 26, 0)
(28, 28, 28, 28, 0)
(30, 30, 30, 30, 0)
(32, 32, 32, 32, 0)
(34, 34, 34, 34, 0)
(36, 36, 36, 36, 0)
(38, 38, 38, 38, 0)
(40, 40, 40, 40, 0)
(42, 42, 42, 42, 0)
(44, 44, 44, 44, 0)
(46, 46, 46, 46, 0)
(48, 48, 48, 48, 0)
(50, 50, 50, 50, 0)
(52, 52, 52, 52, 0)
(54, 54, 54, 54, 0)
(56, 56, 56, 56, 0)
(58, 58, 58, 58, 0)
(60, 60, 60, 60, 0)
(62, 62, 62, 62, 0)
